,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Alabama Crimson Tide,32,90.8,30.9,64.8,47.7,11.1,30.3,36.5,17.9,22.8,78.4,12.7,26.9,39.6,16.1,7.3,4.2,12.0,20.0
Kentucky Wildcats,32,89.4,32.2,64.7,49.7,9.9,24.1,41.2,15.2,19.7,77.3,10.0,27.6,37.6,17.6,7.7,6.3,10.7,17.5
Arizona Wildcats,33,87.9,31.5,64.5,48.9,7.8,21.1,37.1,17.0,23.7,71.9,13.2,29.4,42.6,18.6,8.3,3.5,12.0,16.4
Wright State Raiders,32,86.5,32.3,60.9,53.0,6.8,17.8,38.3,15.1,19.9,75.7,9.0,25.6,34.6,16.5,6.3,2.8,11.8,15.6
Samford Bulldogs,34,86.0,30.1,61.1,49.3,9.9,25.1,39.3,15.9,21.8,72.8,10.5,25.3,35.8,17.5,10.0,3.8,13.2,19.0
Florida Gators,35,85.1,29.8,65.2,45.6,7.7,22.5,34.2,17.9,25.2,71.2,14.8,27.9,42.7,15.0,6.7,5.3,11.8,18.3
Gonzaga Bulldogs,32,84.9,32.0,62.0,51.6,6.8,19.3,35.4,14.0,19.4,72.1,10.9,28.0,38.9,16.6,6.9,4.0,9.8,15.7
Indiana State Sycamores,34,84.4,29.2,57.7,50.5,11.0,28.5,38.5,15.1,18.9,79.7,7.1,28.6,35.7,17.5,6.1,1.8,11.8,16.4
Illinois Fighting Illini,34,84.4,29.3,62.2,47.1,8.3,23.8,35.0,17.5,23.5,74.5,12.9,28.4,41.3,13.0,4.2,3.8,10.8,15.4
James Madison Dukes,34,84.4,30.3,63.2,48.0,8.8,24.0,36.5,14.9,21.1,70.8,11.5,27.3,38.8,16.4,9.0,3.0,10.8,17.2
High Point Panthers,33,84.2,27.6,59.8,46.1,8.6,24.7,34.8,20.5,26.3,77.9,13.2,26.6,39.8,12.0,5.2,3.3,11.2,18.3
Purdue Boilermakers,33,83.4,28.5,58.4,48.8,8.3,20.4,40.8,18.0,25.0,72.1,12.2,28.2,40.4,18.4,5.7,3.8,11.5,14.4
Auburn Tigers,34,83.3,28.9,60.8,47.5,8.0,22.8,35.2,17.5,23.2,75.2,11.3,26.6,37.9,18.0,7.4,6.2,10.6,19.2
Iowa Hawkeyes,33,83.2,30.1,63.2,47.6,6.6,18.9,35.2,16.4,21.2,77.7,9.9,25.7,35.6,17.8,7.0,3.9,9.7,17.0
Kennesaw State Owls,31,82.8,29.3,65.6,44.6,9.4,28.6,32.9,14.8,22.0,67.4,12.2,26.5,38.8,14.8,7.4,4.1,12.1,20.2
Florida Atlantic Owls,33,82.5,29.4,61.1,48.1,8.5,23.7,35.6,15.3,21.3,71.8,11.7,26.3,38.1,15.0,7.1,3.0,11.1,16.0
